a,b,14
a,c,15
a,d,8
a,e,12
a,f,15
a,g,16
a,h,11
a,i,11
a,j,16
a,k,13
a,l,19
a,m,10
a,n,6
a,o,7
a,p,9
a,q,7
a,r,18
a,s,18
a,t,18
a,u,10
a,v,3
a,w,9
a,x,4
a,y,15
a,z,17
a,1,3
a,2,2
a,3,3
a,4,15
a,5,15
a,6,12
a,7,15
a,8,1
a,9,4
b,a,3
b,c,16
b,d,5
b,e,2
b,f,3
b,g,4
b,h,16
b,i,17
b,j,1
b,k,11
b,l,16
b,m,19
b,n,10
b,o,7
b,p,6
b,q,18
b,r,12
b,s,12
b,t,16
b,u,19
b,v,10
b,w,14
b,x,14
b,y,14
b,z,5
b,1,14
b,2,11
b,3,8
b,4,3
b,5,7
b,6,19
b,7,3
b,8,6
b,9,1
c,a,2
c,b,9
c,d,15
c,e,19
c,f,15
c,g,9
c,h,16
c,i,8
c,j,7
c,k,9
c,l,17
c,m,7
c,n,15
c,o,17
c,p,12
c,q,19
c,r,18
c,s,1
c,t,19
c,u,19
c,v,19
c,w,1
c,x,3
c,y,18
c,z,15
c,1,3
c,2,1
c,3,12
c,4,9
c,5,9
c,6,10
c,7,17
c,8,6
c,9,13
d,a,11
d,b,7
d,c,19
d,e,15
d,f,15
d,g,15
d,h,7
d,i,6
d,j,12
d,k,9
d,l,1
d,m,17
d,n,7
d,o,3
d,p,10
d,q,9
d,r,3
d,s,8
d,t,10
d,u,8
d,v,6
d,w,12
d,x,17
d,y,19
d,z,10
d,1,5
d,2,13
d,3,11
d,4,1
d,5,16
d,6,6
d,7,6
d,8,8
d,9,2
e,a,17
e,b,8
e,c,18
e,d,11
e,f,18
e,g,5
e,h,11
e,i,14
e,j,11
e,k,5
e,l,4
e,m,14
e,n,8
e,o,17
e,p,9
e,q,6
e,r,14
e,s,8
e,t,12
e,u,18
e,v,4
e,w,13
e,x,17
e,y,3
e,z,9
e,1,7
e,2,14
e,3,9
e,4,9
e,5,1
e,6,2
e,7,11
e,8,8
e,9,16
f,a,18
f,b,4
f,c,1
f,d,5
f,e,12
f,g,16
f,h,11
f,i,10
f,j,16
f,k,7
f,l,2
f,m,12
f,n,10
f,o,9
f,p,8
f,q,9
f,r,12
f,s,11
f,t,17
f,u,19
f,v,16
f,w,17
f,x,14
f,y,3
f,z,5
f,1,17
f,2,11
