a,b,8
a,c,2
a,d,5
a,e,10
c,d,2
b,c,3
c,e,4
d,e,1
b,d,5
a,f,6
b,f,4
b,e,13
c,f,7
d,e,8
g,a,3
g,f,4
g,c,6
g,b,7
f,c,8
f,d,4
f,e,7
g,e,4
g,d,2
b,d,5
h,a,4
h,b,5
h,c,7
h,d,2
h,e,3
h,f,10
h,g,5
i,a,9
i,b,4
i,c,6
i,d,8
i,e,3
i,f,9
i,g,2
i,h,11
j,a,3
j,b,5
j,c,8
j,d,12
j,e,7
j,f,8
j,g,8
j,h,1
j,i,2
k,a,8
k,b,2
k,c,7
k,d,1
k,e,6
k,f,3
k,g,7
k,h,2
k,i,11
k,j,4
l,a,5
l,b,3
l,c,6
l,d,8
l,e,2
l,f,9
l,g,2
l,h,7
l,i,10
l,j,8
l,k,3
m,a,5
m,b,6
m,c,8
m,d,2
m,e,1
m,f,8
m,g,2
m,h,4
m,i,3
m,j,6
m,k,1
m,l,7
n,a,5
n,b,2
n,c,1
n,d,9
n,e,7
